,SE-Area,SE-Prob,Task Id,Task Name,,Multi-class? def: Binary,Openness of labels set,Multi-label? def: Single-label,Soft (probability)? def: Hard,Granularity,Explained?,Type of question wrt Vuls,Mult/Openness VulSet,Few-Shot,ReAct,CoT,ToT,RAG,Infiller,FeedbackLoop,Self-Validation,LLM-Downstream Task Class,LLM-Task Category
205,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,WitheredLeaf_4,\eval{ListSemiTargeted-BugCategory-BugExplanation-MultiClass-Classification} ,#NAME?,TRUE,SemiCloseEnded,,,BugExplanation,NotExplained,BugCategory,CWE-like,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
219,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,LLM4Vuln_3,\eval{InfoRequesting-Rationalized-GivenVulnDescrProneness-Code-MultiLabel-Classification},#NAME?,TRUE,OpenEnded,Verdadero,,Contract-level,Explained,Presence (vul(s)),ListOfVulnDescrip,,1,1,,1,,,,08 - Rationalized Code-Classification,2 - Evaluative
220,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,LLM4Vuln_3wPreCoT,\eval{InfoRequesting-Rationalized-GivenVulnDescrProneness-Code-MultiLabel-Classification},#NAME?,TRUE,OpenEnded,Verdadero,,Contract-level,Explained,Presence (vul(s)),ListOfVulnDescrip,,1,1,,1,,,,08 - Rationalized Code-Classification,2 - Evaluative
221,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,LLM4Vuln_3wPostCoT,\eval{InfoRequesting-Rationalized-GivenVulnDescrProneness-Code-MultiLabel-Classification},#NAME?,TRUE,OpenEnded,Verdadero,,Contract-level,Explained,Presence (vul(s)),ListOfVulnDescrip,,1,1,,1,,,,08 - Rationalized Code-Classification,2 - Evaluative
212,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,SmartAudit_2,\eval{Rationalized-VulnerabilityProneness-Code-MultiLabel-Classification} ,#NAME?,TRUE,OpenEnded,Verdadero,,Contract-level,Explained,VulsDescrip,NotSpecified,,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
213,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,SmartAudit_3,\eval{Rationalized-VulnerabilityProneness-Code-MultiLabel-Classification} ,#NAME?,TRUE,OpenEnded,Verdadero,,Contract-level,Explained,VulsDescrip,NotSpecified,,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
215,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,GPTLens_1,\eval{Rationalized-VulnerabilityProneness-Code-MultiLabel-Classification},#NAME?,TRUE,OpenEnded,Verdadero,,Contract-level,Explained,Presence (vul(s)) + Location,NotSpecified,,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
251,4 - Static Analysis,26 - Taint Analysis,LATTE_4,\eval{Rationalized-TaintFlowAnalysisEnhanced-CWEVulnerabilityProneness-Code-MultiLabel-Classification},#NAME?,TRUE,CloseEnded,Verdadero,,Snippet-level,Explained,TaintVulnerable,DataFlowSeq,,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
175,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,VulBench,\eval{Rationalized-ListTargeted-CWEVulnerabilityProneness-Code-MultiLabel-Classification},#NAME?,TRUE,CloseEnded,Verdadero,,Snippet-level,Explained,Presence (vul(s)),ListOfVulnIds,1,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
179,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,VulDetect_2,\eval{Rationalized-ListTargeted-CWEVulnerabilityProneness-Code-MultiLabel-Classification},#NAME?,TRUE,CloseEnded,Verdadero,,Snippet-level,Explained,Presence (vul(s)),ListOfVulnIds,,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
209,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,ChatGPTSCV_1,\eval{Rationalized-ListTargeted-CWEVulnerabilityProneness-Code-MultiLabel-Classification},#NAME?,TRUE,CloseEnded,Verdadero,,Contract-level,Explained,Presence (vul(s)) + Location,ListOfVulnIds,,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
180,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,VulDetect_3,\eval{Rationalized-DataFlowTargeted-CWEVulnerabilityProneness-Code-MultiLabel-Classification} ,#NAME?,TRUE,CloseEnded,Verdadero,,Snippet-level,Explained,Presence (vul(s)),CWE-DF,,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
178,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,VulDetect_1,\eval{Rationalized-CWEVulnerabilityProneness-Code-MultiLabel-Classification},#NAME?,TRUE,CloseEnded,Verdadero,,Snippet-level,Explained,Presence (vul(s)),CWE,,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
183,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,VSP_1,\eval{Rationalized-CWEVulnerabilityProneness-Code-MultiLabel-Classification},#NAME?,TRUE,CloseEnded,Verdadero,,Snippet-level,Explained,Presence (vul(s)),CWE,1,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
237,4 - Static Analysis,24 - Resource Leak,SkipAnalyzer_1,\eval{Rationalized-NullDerreferencePresence-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,Explained,NullDerreference,NotSpecified,1,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
238,4 - Static Analysis,24 - Resource Leak,SkipAnalyzer_2,\eval{Rationalized-ResourceLeakPresence-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,Explained,ResourceLeak,NotSpecified,1,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
199,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,EditTime_3,\eval{Rationalized-VulnerabilityProneness-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,Explained,VulProneness (yes/no),NotSpecified,,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
200,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,EditTime_4,\eval{Rationalized-VulnerabilityProneness-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,Explained,VulProneness (yes/no),NotSpecified,1,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
184,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,VSP_2,\eval{Rationalized-IdTargeted-CWEVulnerabilityProneness-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,Explained,VulProneness (yes/no),SingleVulnId,1,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
201,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,WitheredLeaf_1,\eval{Rationalized-SemanticBugPresence-CodeLine-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Line-level,Explained,SemanticBug Presence (yes/no),NotSpecified,,,,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
203,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,WitheredLeaf_3,\eval{Rationalized-BugFixabilityByNameChange-CodeLine-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Line-level,Explained,BugFixableByNameChange,NotSpecified,,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
188,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,DLAP_3,\eval{Rationalized-ReviewStepsEnhanced-IdTargeted-CWEVulnerabilityProneness-Code-OneClass-Soft-Classification},#NAME?,FALSE,CloseEnded,,Verdadero,Snippet-level,Explained,VulProneness (yes/no),SingleVulnId,,,1,,,,,,08 - Rationalized Code-Classification,2 - Evaluative
174,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,ChatGPT4vul_4,\eval{CVSS-Scoring},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,09 - Code Scaling,2 - Evaluative
190,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,MultiTask_2,\eval{CVSS-Scoring},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,09 - Code Scaling,2 - Evaluative
186,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,DLAP_1,\eval{GivenExamples-VulnerabilityProneness-Code-MultiLabel-Soft-Classification},#NAME?,TRUE,CloseEnded,,Verdadero,Snippet-level,NotExplained,VulId+Prob + Prob,Examples Label+Prob ,,,,,,,,,09 - Code Scaling,2 - Evaluative
156,2 - Debugging,17 - Fault Localization,ChatGPT-4(Log)_1,\eval{FaultProneness-CodeLines-Ranking},#NAME?,TRUE,,,Verdadero,Line-level,Explained,,,,,1,,,,,,10 - Line Code-Ranking,2 - Evaluative
172,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,ChatGPT4vul_2,\eval{VulnerabilityProneness-CodeLines-Ranking} ,#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,10 - Line Code-Ranking,2 - Evaluative
158,2 - Debugging,17 - Fault Localization,ChatGPT-4(Log)_2,\eval{TestResultAware-FaultProneness-CodeLines-ReRanking},#NAME?,FALSE,,,,,NotExplained,,,,,1,,,,,,10 - Line Code-Ranking,2 - Evaluative
202,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,WitheredLeaf_2,\eval{Warnings-Irrelevance-Filtering},#NAME?,FALSE,CloseEnded,,,Line-level,NotExplained,Warning Relevance,,,,,,,,,,11 - Task-Solution Analysis,2 - Evaluative
234,4 - Static Analysis,23 - Use Before Initialize,LLift_2(SelfValid),\teval{Self-Validation},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,11 - Task-Solution Analysis,2 - Evaluative
236,4 - Static Analysis,23 - Use Before Initialize,LLift_3(SelfValid),\teval{Self-Validation},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,11 - Task-Solution Analysis,2 - Evaluative
38,1 - Testing,03 - Input Generation,mrDetector_2,\eval{Answer-Quality(Reasonability)-Judgment},#NAME?,FALSE,,,,,NotExplained,,,1,,,,,,,,11 - Task-Solution Analysis,2 - Evaluative
167,2 - Debugging,18 - Root Cause Analysis,LM-PACE_3,"\eval{Answer-Qlty(Truth, Ground, Informative)-Assessment}",#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,11 - Task-Solution Analysis,2 - Evaluative
253,4 - Static Analysis,28 - Fix Acceptance Check,CORE,"\eval{Patch-Qlty(Fixes, LeastImpact)-Assessment}",#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,11 - Task-Solution Analysis,2 - Evaluative
216,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,GPTLens_2,"\eval{Audits-Qlty(Correctness, Severity, Profitability)-Assessment}",#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,11 - Task-Solution Analysis,2 - Evaluative
239,4 - Static Analysis,24 - Resource Leak,SkipAnalyzer_3,\eval{Warning-FalsePositiveProneness-Assessment},#NAME?,FALSE,,,,,NotExplained,,,1,,1,,,,,,11 - Task-Solution Analysis,2 - Evaluative
181,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,VulDetect_4,\eval{Answer-Quality-Assessment},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,11 - Task-Solution Analysis,2 - Evaluative
119,1 - Testing,14 - Oracle Problem,SELF-DEBUGGING_OP6,\eval{Docstrings-Equivalence-Checking},#NAME?,,,,,,,,,1,,,,,,,,12 - Text Analysis,2 - Evaluative
275,5 - Program Verification,29 - Program Verification,Clover_8,\eval{Docstrings-Equivalence-Checking},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,12 - Text Analysis,2 - Evaluative
94,1 - Testing,12 - Functional Testing,ScenarioNL_3,\eval{ExpertSolvedUncertainty-TextDependent-QuestionAnswering},#NAME?,FALSE,,,,,NotExplained,,,,,,1,,,,,12 - Text Analysis,2 - Evaluative
164,2 - Debugging,18 - Root Cause Analysis,RCAAgents_2,\eval{TextDependent-QuestionAnswering},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,12 - Text Analysis,2 - Evaluative
93,1 - Testing,12 - Functional Testing,ScenarioNL_2,\eval{Ambiguity-Analysis},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,12 - Text Analysis,2 - Evaluative
132,1 - Testing,14 - Oracle Problem,ClarifyGPT_4,\eval{Ambiguity-Analysis},#NAME?,FALSE,,,,,NotExplained,,,1,,,,,,,,12 - Text Analysis,2 - Evaluative
153,2 - Debugging,17 - Fault Localization,AutoSD_2,\eval{EvidenceSupport-Judgment} ,#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,12 - Text Analysis,2 - Evaluative
165,2 - Debugging,18 - Root Cause Analysis,LM-PACE_1,\eval{SufficiencyToInferAnswer-Assessment},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,12 - Text Analysis,2 - Evaluative
252,4 - Static Analysis,27 - Static Slicing,SimulinkSlicer,\extr{Model-Slicing},#NAME?,,,,,,,,,1,,1,,,,,,13 - Code-Elements Identification,3 - Extractive
249,4 - Static Analysis,26 - Taint Analysis,LATTE_2,extr{ExternalInputSource-Identification},#NAME?,,,,,,,,,,,,,,,,,13 - Code-Elements Identification,3 - Extractive
61,1 - Testing,07 - Kernel Fuzzing,KernelGPT_3,\extr{InfoRequesting-Type-Identification},#NAME?,,,,,,,,,1,1*,,,,,,,13 - Code-Elements Identification,3 - Extractive
248,4 - Static Analysis,26 - Taint Analysis,LATTE_1,\extr{Sink-Identification},#NAME?,,,,,,,,,,,,,,,,,13 - Code-Elements Identification,3 - Extractive
232,4 - Static Analysis,23 - Use Before Initialize,LLift_1,\extr{InfoRequesting-Initializator-Identification},#NAME?,,,,,,,,,,1,,,,,,,13 - Code-Elements Identification,3 - Extractive
227,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,GPTScan_3,\extr{RoleBased-CodeElements-Identification},#NAME?,,,,,,,,,,,1,,,,,,13 - Code-Elements Identification,3 - Extractive
240,4 - Static Analysis,24 - Resource Leak,InferROI,\extr{ResourceLeakRelated-CodeElements-Identification},#NAME?,,,,,,,,,,,,,,,,,13 - Code-Elements Identification,3 - Extractive
60,1 - Testing,07 - Kernel Fuzzing,KernelGPT_2,\extr{InfoRequesting-CodeElements-Identification},#NAME?,,,,,,,,,1,1*,,,,,,,13 - Code-Elements Identification,3 - Extractive
59,1 - Testing,07 - Kernel Fuzzing,KernelGPT_1,\extr{CodeElements-Identification},#NAME?,,,,,,,,,1,,,,,,,,13 - Code-Elements Identification,3 - Extractive
229,4 - Static Analysis,22 - Call-Graph/CFG Construction,CFG-Chain_2,\extr{BlockCorresponding-Code-Extraction} ,#NAME?,,,,,,,,,1,,,,,,,,13 - Code-Elements Identification,3 - Extractive
62,1 - Testing,07 - Kernel Fuzzing,KernelGPT_4,\extr{InfoRequesting-Definition-Extraction},#NAME?,,,,,,,,,,1*,,,,,,,13 - Code-Elements Identification,3 - Extractive
228,4 - Static Analysis,22 - Call-Graph/CFG Construction,CFG-Chain_1,\extr{CodeBlocks-Extraction} ,#NAME?,,,,,,,,,1,,,,,,,,13 - Code-Elements Identification,3 - Extractive
135,1 - Testing,14 - Oracle Problem,EMR_1,\extr{IORelated-Sentences-Identification},#NAME?,,,,,,,,,,,,,,,,,14 - Text-Elements Extraction,3 - Extractive
140,1 - Testing,14 - Oracle Problem,MetaMorph,\extr{VariableNames-Identification},#NAME?,,,,,,,,,1,,,,,,,,14 - Text-Elements Extraction,3 - Extractive
142,2 - Debugging,15 - Bug Reproduction,AdbGPT_1,\extr{StepsToReproduce-Extraction},#NAME?,,,,,,,,,1,,1,,,,,,14 - Text-Elements Extraction,3 - Extractive
97,1 - Testing,12 - Functional Testing,SysKG-UTF_1,\extr{StructureCompliant-Information-Extraction},#NAME?,,,,,,,,,1,,,,,,,,14 - Text-Elements Extraction,3 - Extractive
147,2 - Debugging,16 - Duplicate Bug Report Detection,Cupid,\extr{AimedAtDuplicateDetection-Keywords-Extraction},#NAME?,,,,,,,,,,,,,,,,,14 - Text-Elements Extraction,3 - Extractive
134,1 - Testing,14 - Oracle Problem,PROSPER,\extr{FSM-Elements-Extraction},#NAME?,,,,,,,,,1,,,,,,,,14 - Text-Elements Extraction,3 - Extractive
160,2 - Debugging,18 - Root Cause Analysis,RCACopilot_2,\extr{Common-RootCause-Selection},#NAME?,,,,,,,,,,,1,,,,,,14 - Text-Elements Extraction,3 - Extractive
222,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,LLM4Vuln_3(PreCoT),\tabstr{funct summ},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
280,5 - Program Verification,29 - Program Verification,RustProof_1(CoT),\tabstr{code intent + precond explan},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
282,5 - Program Verification,29 - Program Verification,RustProof_2(CoT),\tabstr{precond explan + postcond explan},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
114,1 - Testing,14 - Oracle Problem,SELF-DEBUGGING_OP1,\abstr{SQL-CodeCorresponding-Explanation-Generation},#NAME?,,,,,,,,,1,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
116,1 - Testing,14 - Oracle Problem,SELF-DEBUGGING_OP3,\abstr{SQL-Code\&ExecutionCorresponding-Explanation-Generation},#NAME?,,,,,,,,,1,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
206,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,LLMAPIDet_1,\abstr{RootCauseOriented-ChangeAction-Verbalization},#NAME?,,,,,,,,,1,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
131,1 - Testing,14 - Oracle Problem,ClarifyGPT_3,\abstr{CodeDifferences-Verbalization},#NAME?,,,,,,,,,1,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
18,1 - Testing,01 - Unit Test Generation,ChatTESTER_1,\abstr{CodeCorresponding-Intent-Verbalization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
21,1 - Testing,02 - Failure-Inducing Test Generation,DiffPrompt_1,\abstr{CodeCorresponding-Intent-Verbalization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
193,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,PromptEnhanced_1,\abstr{CodeCorresponding-Intent-Verbalization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
207,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,LLMAPIDet_2,\abstr{CodeCorresponding-Intent-Verbalization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
217,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,LLM4Vuln_1,\abstr{CodeCorresponding-Intent-Verbalization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
271,5 - Program Verification,29 - Program Verification,Clover_4,\abstr{CodeCorresponding-Intent-Verbalization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
274,5 - Program Verification,29 - Program Verification,Clover_7,\abstr{AnnotationCorresponding-Intent-Verbalization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
53,1 - Testing,06 - General Fuzzing,Fuzz4All_1,\abstr{Usage-Summarization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
108,1 - Testing,13 - Penetration Testing,PentestGPT_8,\abstr{Summarization},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
113,1 - Testing,14 - Oracle Problem,FSML_OP(CoT),\tabstr{code intent},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
214,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,SmartAudit_3(CoT),\tabstr{code intent},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
157,2 - Debugging,17 - Fault Localization,ChatGPT-4(Log)_1(CoT),\tabstr{funct intent},#NAME?,,,,,,,,,,,,,,,,,15 - SW-Entity Verbalization,4 - Abstractive
122,1 - Testing,14 - Oracle Problem,nl2postcondition,\abstr{PostCondition-Formalization},#NAME?,,,,,,,,,,,,,,,,,16 - Formalization,4 - Abstractive
279,5 - Program Verification,29 - Program Verification,RustProof_1,\abstr{PostCondition-Formalization},#NAME?,,,,,,,,,,,1,,,,,,16 - Formalization,4 - Abstractive
273,5 - Program Verification,29 - Program Verification,Clover_6,\abstr{IntentCorresponding-PrePost-Formalization},#NAME?,,,,,,,,,,,,,,,,,16 - Formalization,4 - Abstractive
266,5 - Program Verification,29 - Program Verification,Dafny-Synth_4b,\tabstr{pre/post},#NAME?,,,,,,,,,,,,,,,,,16 - Formalization,4 - Abstractive
243,4 - Static Analysis,25 - Data-Flow Analysis,LLMDFA_3,\abstr{VariablesSameValue-Identification},#NAME?,,,,,,,,,1,,1,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
118,1 - Testing,14 - Oracle Problem,SELF-DEBUGGING_OP5,\abstr{Rationalized-NLQuery-NumberOfColumns-Identification},#NAME?,,,,,,,,,1,,1,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
233,4 - Static Analysis,23 - Use Before Initialize,LLift_2,\abstr{PostConstraint-Identification},#NAME?,,,,,,,,,,,,,,,,1,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
230,4 - Static Analysis,22 - Call-Graph/CFG Construction,CFG-Chain_3,\abstr{ControlFlow-Identification} ,#NAME?,,,,,,,,,1,,,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
250,4 - Static Analysis,26 - Taint Analysis,LATTE_3,\abstr{TaintFlow-Identification},#NAME?,,,,,,,,,,,,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
265,5 - Program Verification,29 - Program Verification,Dafny-Synth_4a,\abstr{NL-Specification-Distillation},#NAME?,,,,,,,,,,,,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
31,1 - Testing,03 - Input Generation,InputBlaster_3,\abstr{Effective\&Diversified-MutationRule-Characterization},#NAME?,,,,,,,,,1,,,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
136,1 - Testing,14 - Oracle Problem,EMR_2,\abstr{SentenceDerivable-MethamorpicRelation-Characterization},#NAME?,,,,,,,,,,,,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
235,4 - Static Analysis,23 - Use Before Initialize,LLift_3,\abstr{InfoRequesting-QualifiedPostCondition-Characterization},#NAME?,,,,,,,,,1,1,1,,,,,1,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
112,1 - Testing,14 - Oracle Problem,FSML_OP,\abstr{MetamorphicAssertion-Characterization},#NAME?,,,,,,,,,1,,1,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
27,1 - Testing,03 - Input Generation,RESTGPT_1,abstr{DescriptionCorresponding-Liberal-Constraint-Characterization},#NAME?,,,,,,,,,1,,,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
29,1 - Testing,03 - Input Generation,InputBlaster_1,\abstr{GUIInputCorresponding-ValidityConstraint-Characterization},#NAME?,,,,,,,,,1,,,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
66,1 - Testing,08 - Compiler/Simulator Fuzzing,WhiteFox_1,\abstr{CodeReachability-Input-Characterization},#NAME?,,,,,,,,,1,,,,,,,,17 - SW-Entity Property Identification & Characterization,4 - Abstractive
168,2 - Debugging,18 - Root Cause Analysis,LM-PACE_4,\abstr{Assessment-Scaled-Summarization},#NAME?,,,,,,,,,,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
92,1 - Testing,12 - Functional Testing,ScenarioNL_1,\abstr{Focused-Summarization},#NAME?,,,,,,,,,,,,1,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
139,1 - Testing,14 - Oracle Problem,GameBugDescriptions_2,\abstr{Answer-FailureOriented-Summarization} ,#NAME?,,,,,,,,,,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
159,2 - Debugging,18 - Root Cause Analysis,RCACopilot_1,\abstr{RootCauseOriented-Summarization},#NAME?,,,,,,,,,,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
161,2 - Debugging,18 - Root Cause Analysis,x-lifecycle_1,\abstr{RootCauseOriented-Summarization},#NAME?,,,,,,,,,,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
169,2 - Debugging,18 - Root Cause Analysis,inContextRCA_1,\abstr{RootCauseOriented-Summarization},#NAME?,,,,,,,,,,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
151,2 - Debugging,17 - Fault Localization,AutoFL_2,\abstr{Answer-FaultOriented-Summarization} ,#NAME?,,,,,,,,,,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
117,1 - Testing,14 - Oracle Problem,SELF-DEBUGGING_OP4,\abstr{ColumnOriented-Explanation-Summarization},#NAME?,,,,,,,,,1,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
218,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,LLM4Vuln_2,\abstr{Vulnerability-MechanismExplanation-Summarization},#NAME?,,,,,,,,,,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
166,2 - Debugging,18 - Root Cause Analysis,LM-PACE_2,\abstr{Assessment-Yes/No-Summarization},#NAME?,,,,,,,,,,,,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
210,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,ChatGPTSCV_2,\abstr{AssessmentBased-Vulnerability-MultiClass-Summarization},#NAME?,,,,,,,,,,,1,,,,,,18 - Focused-Abstractive Summarization,4 - Abstractive
99,1 - Testing,12 - Functional Testing,SysKG-UTF_3,\exec{FeasibilityRedundancyAware-StepsToReproduce-Fusing(edition)},#NAME?,,,,,,,,,1,,1,,,,,,19 - Plan Generation,5 - Executive
106,1 - Testing,13 - Penetration Testing,PentestGPT_6,\exec{ToolsConstrained-Plan-Generation},#NAME?,,,,,,,,,,,1,,,,,,19 - Plan Generation,5 - Executive
85,1 - Testing,11 - GUI Testing,AXNav_1,\exec{TestGoalCorresponding-Plan-Generation},#NAME?,,,,,,,,,,,1,,,,,,19 - Plan Generation,5 - Executive
109,1 - Testing,13 - Penetration Testing,pwn’d_1,\exec{ScenarioCorresponding-Plan-Generation},#NAME?,,,,,,,,,,1,,,,,,,19 - Plan Generation,5 - Executive
101,1 - Testing,13 - Penetration Testing,PentestGPT_1,\exec{IntentCorresponding-Plan-Generation},#NAME?,,,,,,,,,,1,,,,,,,19 - Plan Generation,5 - Executive
256,5 - Program Verification,29 - Program Verification,AlloyRepair_3,\exec{Suggestion-Generation},#NAME?,,,,,,,,,,,,,,,,,19 - Plan Generation,5 - Executive
